Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
12,"Amsterdam, Netherlands",208.1,153.3,69.9,75.0,83.8,8.8,23.4,27.6,87.5
51,"Berlin, Germany",178.0,138.7,55.5,66.5,71.9,10.3,33.2,38.4,83.3
73,"Lisbon, Portugal",155.1,68.5,67.1,72.4,55.2,20.0,34.6,37.2,98.6
78,"Barcelona, Spain",153.7,105.4,48.0,76.7,60.4,11.9,29.8,63.3,95.7
82,"Rome, Italy",148.9,91.8,52.9,64.8,63.5,15.1,35.2,48.6,93.7
88,"London, United Kingdom",145.2,127.9,44.5,69.6,91.0,15.4,44.6,57.9,88.3
89,"Budapest, Hungary",142.4,91.3,66.2,52.2,52.1,14.4,38.8,52.9,78.4
97,"Athens, Greece",131.0,71.7,44.8,58.5,58.2,13.7,37.2,55.5,95.2
